k,n,el_str,total_coe,rep_coe,reference,order,composition,rep_linear,307,Unnamed: 9
20,21.0,65,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Lem16.5, \ E \bar{\bar{\beta}}=\Delta(\iota_{43})",2.0,E\bar{\bar{\beta}},\Delta(\iota43),,
20,7.0,2 50,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_7\bar{\zeta}_8=\bar{\zeta}_7\eta_{26}",0.0,,,,
20,8.0,2 51,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_8\bar{\sigma}_9=\bar{\sigma}_8\eta_{27}",0.0,,,,
20,7.0,4 38,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_7\bar{\mu}_{10}=\bar{\mu}_7\nu_{24} \ (=0)",0.0,\nu7\bar{\mu}10,0,,
20,16.0,4 40,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{16}\varepsilon^{*}_{19}=\varepsilon^{*}_{16}\nu_{33}",0.0,,,,
20,8.0,12 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \mu_8\zeta_{17}=\zeta_8\mu_{19}",0.0,,,,
20,7.0,38 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_7\bar{\mu}_{10}=\bar{\mu}_7\nu_{24} \ (=0)",0.0,\bar{\mu}7\nu24,0,,
20,16.0,40 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{16}\varepsilon^{*}_{19}=\varepsilon^{*}_{16}\nu_{33}",0.0,,,,
20,8.0,16 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \mu_8\zeta_{17}=\zeta_8\mu_{19}",0.0,,,,
20,3.0,12 16,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.5), \ \mu_3\zeta_{12}=\nu'\eta_6\mu_7\sigma_{16}",2.0,\mu3\zeta12,\nu'\eta6\mu7\sigma16,,
20,6.0,2 51,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.7), \ \eta_6\bar{\sigma}_7=0",0.0,\eta6\bar{\sigma}7,0,,
20,5.0,2 50,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.7), \ \eta_5\bar{\zeta}_6=0",0.0,\eta5\bar{\zeta}6,0,,
20,5.0,38 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.8), \ \bar{\mu}_5\nu_{22}=0",0.0,\bar{\mu}5\nu22,0,,
20,12.0,40 4,1.0,0 0 0 0 1 0 0 0 0 0 0 0,"[O] Prop3.1(3), \ \varepsilon^{*}_{12}\nu_{29}=\theta\bar{\nu}_{24}",2.0,\varepsilon^{*}12\nu29,\theta\bar{\nu}24,,
20,12.0,106 11,1.0,0 0 0 0 1 0 0 0 0 0 0 0,"[O] Prop3.1(3), \ A_{1}\bar{\nu}_{24}=\theta\bar{\nu}_{24}",2.0,A_{1}\bar{\nu}24,\theta\bar{\nu}24,,
20,11.0,20 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(3), \ \theta'\bar{\nu}_{23}=0",0.0,\theta'\bar{\nu}23,0,,
20,20.0,141,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"[O] (2.1), \ A_{2}\equiv \bar{\bar{\beta}} \mod E \bar{\beta}",2.0,A_{2},\bar{\bar{\beta}},,
20,19.0,139,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O] (2.1), \ C_{2}=\bar{\beta}",2.0,C_{2},\bar{\beta},,
20,10.0,199,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O] (2.1), \ F_{1}\equiv \beta' \mod 2\beta'",8.0,F_{1},\beta',,
20,12.0,108,1.0,0 0 0 0 0 1 0 0 0 0 0 0,"[O] (2.3), \ A_{1}^{(1)}\equiv \beta''' \mod \theta\bar{\nu}_{24} , \ \theta\varepsilon_{24} , \ E \beta'' , \ E \theta'\varepsilon_{24}",2.0,A_{1}^{(1)},\beta''',,
20,11.0,136,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"[O] (2.3), \ C_{1}^{(1)}\equiv \beta'' \mod \theta'\varepsilon_{23}",2.0,C_{1}^{(1)},\beta'',,
20,7.0,4 4 23,1.0,4 0 0 0 0 0 0 0 0 0 0 0,"[MT] Lem15.4, \ 4\bar{\kappa}_7=2E \bar{\kappa}'=\nu_{7}^2\kappa_{13}",2.0,\nu7^2\kappa13,4\bar{\kappa}7,,
20,11.0,122 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(7), \ {C_{1}}{\bar{\nu}_{23}} = 0",1.0,{C_{1}}{\bar{\nu}_{23}},0,,
20,11.0,122 2 9,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(7), \ {C_{1}}{\eta_{23}}{\sigma_{24}} = C_1 \varepsilon_{23} (= {\theta'}{\varepsilon_{23}})",2.0,{C_{1}}{\eta_{23}}{\sigma_{24}},{\theta'}{\varepsilon_{23}},,
20,11.0,45 2 2,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(7), \ {\xi'}{\eta_{29}^{2}} = C_1 \varepsilon_{23} (= {\theta'}{\varepsilon_{23}})",2.0,{\xi'}{\eta_{29}^{2}},{\theta'}{\varepsilon_{23}},,
20,11.0,199,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(7), \ {EF_{1}} = C_1 \varepsilon_{23} (= {\theta'}{\varepsilon_{23}})",2.0,{EF_{1}},{\theta'}{\varepsilon_{23}},,
20,5.0,16 12,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(1), \ {\zeta_{5}}{\mu_{16}} \equiv {\nu_{5}}{\bar{\mu}_{8}} \mod {\nu_{5}}{\eta_{8}}{\mu_{9}}{\sigma_{18}}",2.0,{\zeta_{5}}{\mu_{16}},{\nu_{5}}{\bar{\mu}_{8}} + {\nu_{5}}{\eta_{8}}{\mu_{9}}{\sigma_{18}},,
20,5.0,50 2,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(2), \ {\bar{\zeta}_{5}}{\eta_{24}} \equiv {\zeta_{5}}{\mu_{16}} (\equiv {\nu_{5}}{\bar{\mu}_{8}}) \mod {\nu_{5}}{\eta_{8}}{\mu_{9}}{\sigma_{18}}",2.0,{\bar{\zeta}_{5}}{\eta_{24}},{\nu_{5}}{\bar{\mu}_{8}} + {\nu_{5}}{\eta_{8}}{\mu_{9}}{\sigma_{18}},,
20,3.0,38 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.3(1), \ {\bar{\mu}_{3}}{\nu_{20}} = {\nu'}{\eta_{6}}{\mu_{7}}{\sigma_{16}}",2.0,{\bar{\mu}_{3}}{\nu_{20}},{\nu'}{\eta_{6}}{\mu_{7}}{\sigma_{16}},,
21,3.0,2 3 38,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[M](7.1), \ \Delta(\nu_5\bar{\mu}_8)=\eta_2\nu'\bar{\mu}_6",2.0,\eta3E\nu'\bar{\mu}7,0,,
21,3.0,2 3 2 12 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[M](7.1), \ \Delta(\nu_5\eta_8\mu_9\sigma_{18})=\eta_2\nu'\eta_6\mu_7\sigma_{16}",2.0,\eta3E\nu'\eta7\mu8\sigma17,0,,
21,9.0,2 56,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_9\bar{\kappa}_{10}=\bar{\kappa}_9\eta_{29}",2.0,\eta9\bar{\kappa}10,\eta9\bar{\kappa}10,,
21,16.0,4 46,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{16}\xi_{19}=\xi_{16}\nu_{34}",0.0,,,,
21,20.0,4 48,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{20}\nu^{*}_{23}=\nu^{*}_{20}\nu_{38}",0.0,,,,
21,15.0,9 23,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{15}\kappa_{22}=\kappa_{15}\sigma_{29}",0.0,,,,
21,9.0,56 2,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_9\bar{\kappa}_{10}=\bar{\kappa}_9\eta_{29}",2.0,\bar{\kappa}9\eta29,\eta9\bar{\kappa}10,,
21,16.0,46 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{16}\xi_{19}=\xi_{16}\nu_{34}",0.0,,,,
21,20.0,48 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{20}\nu^{*}_{23}=\nu^{*}_{20}\nu_{38}",0.0,,,,
21,15.0,23 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{15}\kappa_{22}=\kappa_{15}\sigma_{29}",0.0,,,,
21,13.0,46 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[M] (7.15), \ \xi_{13}\nu_{31}\equiv \sigma_{13}^3 \mod \sigma_{13}\kappa_{20}",2.0,\xi13\nu31,\sigma13^3,,
21,13.0,9 23,1.0,0 0 0 2 0 0 0 0 0 0 0 0,"[M] Prop7.2, \ \sigma_{13}\kappa_{20}=2\lambda\nu_{31}",2.0,\sigma13\kappa20,2\lambda\nu31,,
21,5.0,6 23,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.2), \ \sigma'''\kappa_{12}=0",0.0,\sigma'''\kappa12,0,,
21,11.0,45 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \ \xi'\nu_{29}=0",0.0,\xi'\nu29,0,,
21,10.0,4 47,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \ \nu_{10}\lambda=\sigma_{10}\kappa_{17}",2.0,\nu10\lambda,\sigma10\kappa17,,
21,11.0,44 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \ \lambda'\nu_{29}=\sigma_{11}\kappa_{18}",2.0,\lambda'\nu29,\sigma11\kappa18,,
21,5.0,6 9 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(7), \ \sigma'''\sigma_{12}^2=0",0.0,\sigma'''\sigma12^2,0,,
21,6.0,7 9 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(7), \ \sigma''\sigma_{13}^2=0",0.0,\sigma''\sigma13^2,0,,
21,7.0,8 9 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(7), \ \sigma'\sigma_{14}^2=0",0.0,\sigma'\sigma14^2,0,,
21,7.0,23 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(2), \ {\kappa_{7}}{\sigma_{21}} = 0",1.0,{\kappa_{7}}{\sigma_{21}},0,,
21,9.0,4 46,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(2), \ {\nu_{9}}{\xi_{12}} = {\sigma_{9}^{3}}",2.0,{\nu_{9}}{\xi_{12}},{\sigma_{9}^{3}},,
21,12.0,46 4,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(2), \ {\xi_{12}}{\nu_{30}} = {\sigma_{12}^{3}}",2.0,{\xi_{12}}{\nu_{30}},{\sigma_{12}^{3}},,
21,13.0,4 48,1.0,0 1 0 1 0 0 0 0 0 0 0 0,"[O2] Prop2.3(3), \ {\nu_{13}}{\nu^{*}_{16}} = {\sigma_{13}^{3}} \pm {\lambda}{\nu_{31}}",4.0,{\nu_{13}}{\nu^{*}_{16}},{\sigma_{13}^{3}} + {\lambda}{\nu_{31}},,
21,5.0,4 16 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.4(3), \ {\nu_{5}}{\zeta_{8}}{\sigma_{19}} = 0",1.0,{\nu_{5}}{\zeta_{8}}{\sigma_{19}},0,,
21,5.0,4 9 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.4(3), \ {\nu_{5}}{\sigma_{8}}{\zeta_{15}} = 0",1.0,{\nu_{5}}{\sigma_{8}}{\zeta_{15}},0,,
21,11.0,58 2,1.0,0 0 0 1 0 0 0 0 0 0 0 0,"[O3] Prop2.1(1), \ {\beta''}{\eta_{31}} =C_1\mu_{23} (= {\theta'}{\mu_{23}})",2.0,{\beta''}{\eta_{31}},{\theta'}{\mu_{23}},,
21,11.0,136 2,1.0,0 0 0 1 0 0 0 0 0 0 0 0,"[O3] Prop2.1(1), \ {C_{1}^{(1)}}{\eta_{31}} =C_1\mu_{23} (= {\theta'}{\mu_{23}})",2.0,{C_{1}^{(1)}}{\eta_{31}},{\theta'}{\mu_{23}},,
21,11.0,122 2 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.1(1), \ {C_{1}}{\eta_{23}}{\varepsilon_{24}} = 0",1.0,{C_{1}}{\eta_{23}}{\varepsilon_{24}},0,,
21,7.0,56 2,1.0,1 1 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.4(2), \ {\bar{\kappa}_{7}}{\eta_{27}} = {\eta_{7}}{\bar{\kappa}_{8}} + {\sigma'}{\kappa_{14}}",2.0,{\bar{\kappa}_{7}}{\eta_{27}},{\eta_{7}}{\bar{\kappa}_{8}} + {\sigma'}{\kappa_{14}},,
22,9.0,4 50,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_9\bar{\zeta}_{12}=-\bar{\zeta}_9\nu_{28}",0.0,,,,
22,10.0,4 51,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{10}\bar{\sigma}_{13}=\bar{\sigma}_{10}\nu_{29}",2.0,\nu10\bar{\sigma}13,\nu10\bar{\sigma}13,,
22,11.0,9 25,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{11}\bar{\varepsilon}_{18}=\bar{\varepsilon}_{11}\sigma_{26}",0.0,,,,
22,21.0,9 30,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{21}\rho_{28}=-\rho_{21}\sigma_{36}",0.0,,,,
22,10.0,10 23,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \varepsilon_{10}\kappa_{18}=\kappa_{10}\varepsilon_{24}",2.0,\varepsilon10\kappa18,\varepsilon10\kappa18,,
22,13.0,11 23,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \bar{\nu}_{13}\kappa_{21}=\kappa_{13}\bar{\nu}_{27}",0.0,,,,
22,9.0,50 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_9\bar{\zeta}_{12}=-\bar{\zeta}_9\nu_{28}",0.0,,,,
22,10.0,51 4,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{10}\bar{\sigma}_{13}=\bar{\sigma}_{10}\nu_{29}",2.0,\bar{\sigma}10\nu29,\nu10\bar{\sigma}13,,
22,11.0,25 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{11}\bar{\varepsilon}_{18}=\bar{\varepsilon}_{11}\sigma_{26}",0.0,,,,
22,21.0,30 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{21}\rho_{28}=-\rho_{21}\sigma_{36}",0.0,,,,
22,21.0,30 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ \rho_{21}\sigma_{36}=0",0.0,,,,
22,10.0,23 10,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \varepsilon_{10}\kappa_{18}=\kappa_{10}\varepsilon_{24}",2.0,\kappa10\varepsilon24,\varepsilon10\kappa18,,
22,13.0,23 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \bar{\nu}_{13}\kappa_{21}=\kappa_{13}\bar{\nu}_{27}",0.0,,,,
22,7.0,2 9 23,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[M] Lem8.1, \ \eta_7\sigma_8\kappa_{15}=0",0.0,\eta7\sigma8\kappa15,0,,
22,10.0,25 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[M] p317, \ \bar{\varepsilon}_{10}\sigma_{25}=\sigma_{10}\bar{\varepsilon}_{17}=0",0.0,\bar{\varepsilon}10\sigma25,0,,
22,10.0,9 25,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[M] p317, \ \bar{\varepsilon}_{10}\sigma_{25}=\sigma_{10}\bar{\varepsilon}_{17}=0",0.0,\sigma10\bar{\varepsilon}17,0,,
22,3.0,25 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.4), \ \bar{\varepsilon}_3\sigma_{18}=0",0.0,\bar{\varepsilon}3\sigma18,0,,
22,5.0,26 9,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.4), \ \rho^{IV}\sigma_{20}=\nu_5\bar{\zeta}_8",2.0,\rho^{IV}\sigma20,\nu5\bar{\zeta}8,,
22,10.0,4 47 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \ \nu_{10}\lambda\eta_{31}=0",0.0,\nu10\lambda\eta31,0,,
22,10.0,4 4 36,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \ \nu_{10}^2\eta^{*}_{16}=0",0.0,\nu10^2\eta^{*}16,0,,
22,7.0,8 2 23,1.0,0 1 1 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(2), \ \sigma'\eta_{14}\kappa_{15}=\bar{\nu}_7\kappa_{15}+\varepsilon_{7}\kappa_{15}",2.0,\sigma'\eta14\kappa15,\bar{\nu}7\kappa15+\varepsilon7\kappa15,,
22,5.0,2 2 56,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(2), \ \eta_{5}^2\bar{\kappa}_7=\varepsilon_5\kappa_{13}",2.0,\eta5^2\bar{\kappa}7,\varepsilon5\kappa13,,
22,5.0,67 2,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(6), \ \alpha\eta_{26}=\varepsilon_5\kappa_{13}",2.0,\alpha\eta26,\varepsilon5\kappa13,,
22,6.0,2 56 2,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(6), \ \eta_6\bar{\kappa}_7\eta_{27}=\varepsilon_6\kappa_{14}",2.0,\eta6\bar{\kappa}7\eta27,\varepsilon6\kappa14,,
22,6.0,51 4,1.0,0 0 0 1 0 0 0 0 0 0 0 0,"[O] Prop3.5(1), \ \bar{\sigma}_6\nu_{25}=\nu_6\bar{\sigma}_9",2.0,\bar{\sigma}6\nu25,\nu6\bar{\sigma}9,,
22,5.0,50 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(3), \ {\bar{\zeta}_{5}}{\nu_{24}} = {\nu_{5}}{\bar{\zeta}_{8}}",2.0,{\bar{\zeta}_{5}}{\nu_{24}},{\nu_{5}}{\bar{\zeta}_{8}},,
22,5.0,16 16,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(3), \ {\zeta_{5}^{2}} = {\nu_{5}}{\bar{\zeta}_{8}}",2.0,{\zeta_{5}^{2}},{\nu_{5}}{\bar{\zeta}_{8}},,
22,6.0,7 30,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ \pm{\sigma''}{\rho_{13}}=\alpha_1{''}\sigma_{21} (={\rho'''}{\sigma_{21}})",4.0,{\sigma''}{\rho_{13}},{\rho'''}{\sigma_{21}},,
22,7.0,209 9,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ {\sigma'}{\rho_{14}}\equiv x{\alpha'''_{1}}{\sigma_{22}} \mod {\bar{\nu}_{7}}{\kappa_{15}} + {\varepsilon_{7}}{\kappa_{15}}, \ (x:odd)",8.0,{\alpha'''_{1}}{\sigma_{22}},{\sigma'}{\rho_{14}} + {\bar{\nu}_{7}}{\kappa_{15}} + {\varepsilon_{7}}{\kappa_{15}},,
22,9.0,29 9,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ {\sigma_{9}}{\rho_{16}}\equiv x{\rho'}{\sigma_{24}} \mod {\sigma_{9}}{\bar{\varepsilon}_{16}}, \ (x:odd)",16.0,{\rho'}{\sigma_{24}},{\sigma_{9}}{\rho_{16}} + {\sigma_{9}}{\bar{\varepsilon}_{16}},,
22,10.0,29 9,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ {E\rho'}{\sigma_{25}} = x{\sigma_{10}}{\rho_{17}}, \ (x:odd)",16.0,{E\rho'}{\sigma_{25}},{\sigma_{10}}{\rho_{17}},,
22,13.0,9 30,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ {\sigma_{13}}{\rho_{20}} \equiv 2{\rho_{13}}{\sigma_{28}} \mod 4{\rho_{13}}{\sigma_{28}}",8.0,{\sigma_{13}}{\rho_{20}},2{\rho_{13}}{\sigma_{28}},,
22,17.0,30 9,1.0,8 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ {\rho_{17}}{\sigma_{32}} = 8{\sigma^{*}_{17}}",2.0,{\rho_{17}}{\sigma_{32}},8{\sigma^{*}_{17}},,
22,17.0,9 30,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ {\sigma_{17}}{\rho_{24}} = 0",1.0,{\sigma_{17}}{\rho_{24}},0,,
22,14.0,9 30,4.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ 4({\sigma_{14}}{\rho_{21}}) = 0",1.0,4({\sigma_{14}}{\rho_{21}}),0,,
22,15.0,9 30,2.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ 2({\sigma_{15}}{\rho_{22}}) = 0",1.0,2({\sigma_{15}}{\rho_{22}}),0,,
22,14.0,30 9,8.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ 8({\rho_{14}}{\sigma_{29}}) = 0",1.0,8({\rho_{14}}{\sigma_{29}}),0,,
22,15.0,30 9,4.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(4), \ 4({\rho_{15}}{\sigma_{30}}) = 0",1.0,4({\rho_{15}}{\sigma_{30}}),0,,
22,5.0,211 9,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(5), \ {\nu_{5}}{\bar{\zeta}_{8}} = {\alpha'_{1}}{\sigma_{20}}",2.0,{\alpha'_{1}}{\sigma_{20}},{\nu_{5}}{\bar{\zeta}_{8}},,
22,13.0,4 50,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.1(5), \ {\nu_{13}}{\bar{\zeta}_{16}} = 0",1.0,{\nu_{13}}{\bar{\zeta}_{16}},0,,
22,11.0,122 2 12,1.0,8 0 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.3(1), \ {C_{1}}{\eta_{23}}{\mu_{24}} = 8{\sigma_{11}}{\rho_{18}}",2.0,{C_{1}}{\eta_{23}}{\mu_{24}},8{\sigma_{11}}{\rho_{18}},,
22,14.0,30 9,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.3(4), \ {\rho_{14}}{\sigma_{29}} = 2x{\sigma^{*}{''}}, \ (x:odd)",8.0,{\rho_{14}}{\sigma_{29}},2{\sigma^{*}{''}},,
22,15.0,30 9,1.0,4 0 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.3(4), \ {\rho_{15}}{\sigma_{30}} = 4y{\sigma^{*}{'}}, \ (y:odd)",4.0,{\rho_{15}}{\sigma_{30}},4{\sigma^{*}{'}},,
22,20.0,141 2 2,1.0,4 0 0 2 0 0 0 0 0 0 0 0,"[O3] Prop2.5(7), \ {A_{2}}{\eta_{40}^{2}} = \pm 4{\sigma^{*}_{20}} + 2{\Delta(\nu_{41})}",4.0,{A_{2}}{\eta_{40}^{2}},4{\sigma^{*}_{20}} + 2{\Delta(\nu_{41})},,
23,,,,,,,,,,
23,10.0,9 9 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.3), \ \sigma_{10}^2\mu_{24}=0",0.0,\sigma10^2\mu24,0,,
23,3.0,12 9 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.9), \ \mu_3\sigma_{12}^2=0",0.0,\mu3\sigma12^2,0,,
23,3.0,2 10 23,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (3.1), \ \eta_3\varepsilon_4\kappa_{12}=2\bar{\alpha}",2.0,\eta3\varepsilon4\kappa12,2\bar{\alpha},,
23,7.0,77,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"[MMO] (3.2), \ E \bar{\rho}''=2\bar{\rho}'",4.0,E\bar{\rho}'',2\bar{\rho}',,
23,7.0,75,1.0,0 4 0 0 0 0 0 0 0 0 0 0,"[MMO] (3.2), \ E ^2\bar{\rho}'''=4\bar{\rho}'",2.0,E^2\bar{\rho}''',4\bar{\rho}',,
23,11.0,80,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (3.2), \ E^4\bar{\rho}'=2\bar{\rho}_{11}",8.0,E^4\bar{\rho}',2\bar{\rho}11,,
23,5.0,2 10 23,1.0,4 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(2), \ \eta_5\varepsilon_6\kappa_{14}=4\nu_5\bar{\kappa}_8",2.0,\eta5\varepsilon6\kappa14,4\nu5\bar{\kappa}8,,
23,16.0,201,1.0,0 0 0 0 0 0 1 0 0 0 0 0,"[O] (2.2), \ B_{1}^{I}\equiv \bar{\varepsilon}^{*}_{16} \mod \bar{\varepsilon}^{*}_{16}+\bar{\nu}^{*}_{16} , \ E \bar{\varepsilon}^{*}{'} , \ E \bar{\nu}^{*}{'} , \ 4\nu_{16}\bar{\kappa}_{19}",2.0,B_{1}^{I},\bar{\varepsilon}^{*}_{16},,
23,15.0,166,1.0,0 0 0 0 1 0 0 0 0 0 0 0,"[O] (2.2), \ D_{1}^{I}\equiv \bar{\varepsilon}^{*}{'} \mod \bar{\varepsilon}^{*}{'}+\bar{\nu}^{*}{'} , \ 2\nu_{15}\bar{\kappa}_{18}",2.0,D_{1}^{I},\bar{\varepsilon}^{*}{'},,
23,16.0,113 9,1.0,0 0 0 0 0 0 1 1 0 0 0 0,"[O] (2.4), \ B_{1}\sigma_{32}\equiv \bar{\varepsilon}^{*}_{16}+\bar{\nu}^{*}_{16} \mod E \pi_{38}^{15}",2.0,B_{1}\sigma32,\bar{\varepsilon}^{*}_{16}+\bar{\nu}^{*}_{16},,
23,15.0,112 9,1.0,0 0 0 0 1 1 0 0 0 0 0 0,"[O] (2.4), \ D_{1}\sigma_{31}=\bar{\varepsilon}^{*}{'}+\bar{\nu}^{*}{'}",2.0,D_{1}\sigma31,\bar{\varepsilon}^{*}{'}+\bar{\nu}^{*}{'},,
23,9.0,212,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.5), \ \alpha_{2}^{IV}=\bar{\rho}_{9}",16.0,\alpha_{2}^{IV},\bar{\rho}9,,
