k,n,el_str,total_coe,rep_coe,reference,order,composition,rep_linear,307,Unnamed: 9
10,5.0,6 4,1.0,4 0 0 0 0 0 0 0 0 0 0 0,"[T] (6.2), \ {\sigma'''}{\nu_{12}} \equiv \eta_5^2\varepsilon_7 (=4{\nu_{5}}{\sigma_{8}}) \mod 4({\nu_{5}}{E\sigma'})",2.0,{\sigma'''}{\nu_{12}},4{\nu_{5}}{\sigma_{8}},,
11,3.0,2 2 12,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(7.7), \ 2\mu'=\eta_3^2\mu_5",2.0,\eta3^2\mu5,2\mu',,
11,5.0,4 8 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,E (\nu_4\sigma'\eta_{14})=0,0.0,\nu5E\sigma'\eta15,0,,
11,5.0,15,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(7.14), \ E (E \mu')=\pm 2\zeta_5",4.0,E^2\mu',2\zeta5,,
11,5.0,10 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(7.12), \ E (\varepsilon_4\nu_{12})=0",0.0,\varepsilon5\nu13,0,,
11,5.0,3 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,E (E \nu'\varepsilon_7)=0,0.0,E^2\nu'\varepsilon8,0,,
11,3.0,3 11,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"(7.12), \ \nu' \bar{\nu}_6=\varepsilon_3\nu_{11}",2.0,\nu'\bar{\nu}6,\varepsilon3\nu11,,
11,3.0,14 2,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"(7.12), \ \varepsilon'\eta_{13}=\nu'\varepsilon_6",2.0,\varepsilon'\eta13,\nu'\varepsilon6,,
11,6.0,4 10,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"(7.18), \ \nu_6\varepsilon_9=2\bar{\nu}_6\nu_{14}",2.0,\nu6\varepsilon9,2\bar{\nu}6\nu14,,
11,6.0,4 11,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"(7.17)(7.18), \ \nu_6\bar{\nu}_9=\nu_6\varepsilon_9=2\bar{\nu}_6\nu_{14}",2.0,\nu6\bar{\nu}9,2\bar{\nu}6\nu14,,
11,7.0,4 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_7\varepsilon_{10}=\varepsilon_7\nu_{15} \ (=0)",0.0,\nu7\varepsilon10,0,,
