k,n,tt,include,display,element,coefficient,reference,TodaBracket,Indeterminacy1,Indeterminacy2
8,5,0,10,ε5,"2 , 1 , 4 4","1 , 2 , 1 1","(6.1), \ \varepsilon_{n}\in\{\eta_{n}, 2\iota_{n+1}, \nu_{n+1}^2 \}_t \ , \ for \ n\geq5 \ , \ 0\leq t\leq n-5","{η5,2ι6,ν6^2}",η5π13^6 + π7^5Eν6^2,0
8,5,0,10,ε5,"2 , 4 , 4","1 , 1 , 2","(6.1), \ \varepsilon_{n}\in\{\eta_{n}, \nu_{n+1}, 2\nu_{n+4}\}_t \ , \ for \ n\geq5 \ , \ 0\leq t\leq n-5","{η5,ν6,2ν9}",η5π13^6 + π10^5E(2ν9),0
8,5,0,10,ε5,"2 , 4 4 , 1","1 , 1 1 , 2","(6.1), \ \varepsilon_{n}\in\{\eta_{n}, \nu_{n+1}^2 , 2\iota_{n+7}\}_t \ , \ for \ n\geq5 \ , \ 0\leq t\leq n-5","{η5,ν6^2,2ι12}",η5π13^6 + π13^5E(2ι12),0
8,3,0,10,ε3,"3 , 4 , 2","1 , 1 , 1","(7.6), \ \{\nu' , \nu_6 , \eta_9\}=\varepsilon_3","{ν',ν6,η9}",ν'π11^6 + π10^3Eη9,{ ν'P(ι13) }
8,5,4,10,ε5,"4 , 4 , 2","1 , 2 , 1","(7.6), \ \varepsilon_{n}\in\{\nu_n , 2\nu_{n+3} , \eta_{n+6}\}_t \ , \ n\geq5","{ν5,2ν8,η11}",ν5E^4π9^4 + π12^5E^5η7,0
9,3,0,12,μ3,"2 , 3 , 1 , 4","1 , 1 , 8 , 1",,"{η3,Eν',8ι7,ν7}",,
9,4,1,10 2,ε4η12,"1 , 10 , 1","2 , 1 , 2","Cor 3.7, \ E\beta\circ\eta_{m+k+1}\in\{ r\iota_{m+1} , E\beta , r\iota_{m+k+1}\}_1 \ , \ if \ r\equiv 2 \mod4",,,
10,9,1,0,0,"2 , 1 , 11","1 , 2 , 1","(10.1), \ 0\in\{\eta_9 , 2\iota_{10} , \overline{\nu}_{10}\}_1",,,
10,3,3,14,ε',"3 , 3 , 4","1 , 1 , 1","p59 \ Def, \ \varepsilon'=\{\nu' , 2\nu_6 , \nu_9\}_3","{ν',E^3ν',ν9}",ν'E^3π10^3 + π10^3E^4ν6,0
10,3,3,14,ε',"3 , 4 , 4","1 , 2 , 1","p59 \ Def, \ \varepsilon'=\{\nu' , 2\nu_6 , \nu_9\}_3",,,
11,3,1,15,μ',"2 , 1 , 12","1 , 2 , 1","p65 \ Def, \ \mu'\in\{\eta_3 , 2\iota_4 , \mu_4\}_1",,,
11,5,1,16,ζ5,"4 , 1 , 8","1 , 8 , 1","p59 \ Def, \ \zeta_5\in\{\nu_5 , 8\iota_8 , E\sigma'\}_1\in\pi_{16}^5/(\nu_5 E\pi_{15}^7)","{ν5,8ι8,Eσ'}",ν5Eπ15^7 + π9^5E^2σ',Z2{ ν5ν̅8 } + Z2{ ν5ε8 }
11,11,1,16,ζ11,"2 2 , 10 , 1","1 1 , 1 , 2","Lem 9.1, \ \{\eta_{11}^2 , \varepsilon_{13} , 2\iota_{21}\}_1=\zeta_{11}+2\pi_{22}(S^{11})",,,
11,7,1,16,ζ7,"8 , 1 , 4","1 , 8 , 1","[O] Prop3.2, \ \{\sigma' , 8\iota_{14} , \nu_{14}\}\ni\zeta_7",,,
12,11,1,20,θ',"2 , 4 , 9","1 , 1 , 1",,"{η11,ν12,σ15}",η11Eπ22^11 + π16^11E^2σ14,0
